["sysname CE3", "hostname CE3"]
["interface GigabitEthernet1/0/1.1", "interface GigabitEthernet1/0/1.1"]
["undo shutdown", "no shutdown"]
["ip address 172.17.1.2 255.255.255.0", "ip address 172.17.1.2 255.255.255.0"]
["bgp 65421", "router bgp 65421"]
["peer 172.17.1.1 as-number 100", "neighbor 172.17.1.1 remote-as 100"]
["ipv4-family unicast", "address-family ipv4 unicast"]
["undo synchronization", "no synchronization"]
["import-route direct", "address-family ipv4 vrf vpn1"]
["import-route direct", "redistribute connected"]
["peer 172.17.1.1 enable", "neighbor 172.17.1.1 activate"]
["peer 172.17.1.1 enable", "exit-address-family"]
["return", "end"]
